KODE,NAMA_PRODUK,LOKASI,QTY_STOK,UNIT,TAHUN
P0000102,PYREXIN TAB,ETL1,11.0,STRIP,2021
P0000103,PAGODA PASTILLES MINT 20GR,ETL2,2.0,POT,2021
P0000105,PRENAGEN ESENSIS VANILLA 360GR,ETL5A,1.0,DUS,2021
P0000106,PROLACTA DHA BABY,ETL5A,54.0,BUTIR,2021
P0000108,POLYCROL GEL,ETL1,3.0,BOTOL,2021
P0000110,PABANOX CR 20GR,ETL2,2.0,TUBE,2021
P0000111,PARASOL CR 20GR (WAJAH),ETL2,2.0,TUBE,2021
P0000113,KOTAK P3K MOBIL,ETL3B,4.0,PCS,2021
P0000115,PARFUM 5k,ETL1,35.0,BOTOL,2021
P0000116,PURE BABY RASH CR 50,ETL2,1.0,PCS,2021
P0000117,PURE KIDS INHALANT OIL 10ML,ETL2,2.0,BOTOL,2021
P0000118,PROLACTA DHA MOTHER,ETL5A,26.0,KAPSUL,2021
P0000119,POLYCROL FORTE TAB,ETL1,7.0,STRIP,2021
P0000120,PACDIN BABY COUGH,ETL3A,9.0,BOTOL,2021
P0000121,PRORIS TRIPLE ACTION,ETL1,17.0,STRIP,2021
P0000122,PERBAN ELASTIS 15CM,ETL3B,4.0,PCS,2021
P0000123,PERBAN ELASTIS 7.5CM,ETL3B,4.0,PCS,2021
P0000127,PREGCY CHECK,ETL3B,11.0,BOX,2021
P0000131,PROPEPSA 100ML,RAK4,1.0,BOTOL,2021
P0000134,PIM TRA COLD CHERRY,ETL3A,10.0,BOTOL,2021
P0000136,PISPOT COWOK + TUTUP,ETL5B,1.0,PCS,2021
P0000137,PISPOT TANPA TUTUP,ETL5B,3.0,PCS,2021
P0000143,PRONTO,RAK1,15.0,STRIP,2021
P0000145,PONDEX FORTE TAB,RAK1,19.0,STRIP,2021
P0000160,PROSTAKUR KAP,ETL5A,4.0,STRIP,2021
P0000162,PAGODA SALEP 10GR,ETL2,12.0,POT,2021
P0000165,PARFUM AR-ROIHAN,ETL1,19.0,BOTOL,2021
P0000166,PARFUM SPRAY AR-ROIHAN,ETL1,27.0,BOTOL,2021
P0000171,PROTAGENTA,ETL2,2.0,STRIP,2021
P0000175,PROPYLTHIOURACIL (PTU),RAK2,44.0,STRIP,2021
P0000176,PROPANOLOL 10MG,RAK2,5.0,STRIP,2021
P0000177,XEPAMOL 60ML,ETL3A,4.0,BOTOL,2021
P0000183,PERBAN METERAN,ETL3B,4.0,POTONG,2021
P0000186,PERBAN 15CM,ETL3B,95.0,ROLL,2021
P0000189,PARAMEX NYERI OTOT,ETL1,39.0,STRIP,2021
P0000190,PAGODA PASTILES 10 G,ETL2,2.0,PCS,2021
P0000191,BEDAK PIGEON 100GR,ETL3B,1.0,BOTOL,2021
P0000197,POLOFAR PLUS,RAK1,10.0,STRIP,2021
P0000204,PIMACOLIN APPLE SYR,ETL3A,2.0,BOTOL,2021
P0000208,PASABA SYR 60ML,ETL3A,4.0,BOTOL,2021
P0000213,PANADOL SYR 30 ML,ETL3A,1.0,BOTOL,2021
P0000216,PACETIK SYR,ETL3A,5.0,BOTOL,2021
P0000221,PARAFLU TAB,ETL1,13.0,STRIP,2021
P0000222,PURBASARI SABUN SIRIH NATURAL 60ML,ETL5B,5.0,BOTOL,2021
P0000225,PRENAGEN MOM EMESIS VAN 200GR,ETL5A,1.0,BOX,2021
P0000230,PURBASARI SS ROMANTIC 125ML,ETL5B,3.0,BOTOL,2021
P0000233,PARFUM CAHAYA,ETL1,11.0,BOTOL,2021
P0000234,PERBAN ELASTIS 10CM,ETL3B,4.0,PCS,2021
P0000235,PLOSSA EUCALYPTUS,ETL2,26.0,PCS,2021
P0000238,PERMETHRINE 15GR,RAK3,2.0,TUBE,2021
P0000244,PAGODA PASTILES 35G,ETL2,1.0,PCS,2021
P0000245,EXECUTIVE PARFUME,ETL1,12.0,BOTOL,2021
P0000255,PROMAG SUSPENSI BTL 60ML,ETL1,6.0,BOTOL,2021
P0000256,PLOSSA MINI HOT,ETL2,12.0,PCS,2021
P0000257,PLOSSA MINI EUCALYPTUS,ETL2,7.0,PCS,2021
P0000260,PIPET DROP,ETL3B,6.0,PCS,2021
P0000262,PANTOPRAZOLE TAB 40MG,RAK2,8.0,STRIP,2021
P0000264,PRIMA PROTEC DISINFECTAN,ETL3B,2.0,BOTOL,2021
P0000265,PRIMA FACE MASK 10+1,ETL3B,13.0,PACK,2021
P0000266,PRIMA FACE MASK 5'S,ETL3B,6.0,PACK,2021
P0000267,PRIMA PROTECT HAND SOAP 240ML,ETL3B,5.0,BOTOL,2021
P0000268,PRIMA PROTECT HAND SOAP 500ML,ETL3B,5.0,BOTOL,2021
P0000271,PROBABY SHAMPO 100ML,ETL5B,1.0,BOTOL,2021
P0000272,PRIMA PROTECT HAND SANITIZER 5L,ETL3B,1.0,DRIGEN,2021
P0000273,PRIMA DISINFECTAN 240ML,ETL3B,2.0,BOTOL,2021
P0000274,PURASIL 30GR,ETL3B,1.0,BOTOL,2021
P0000278,PAS X,ETL3B,3.0,DUS,2021
P0000289,PERMETHRIN 30G,RAK3,1.0,TUBE,2021
P000031,PURBASARI SS NATURAL 125ML,ETL5B,2.0,BOTOL,2021
P0000856,SALEP KEMBANG BULAN,ETL2,10.0,POT,2021
P0000964,PARACETAMOL ERITA TAB,ETL1,36.0,STRIP,2021
P0000967,PURASIL 60GR,ETL3B,3.0,BOTOL,2021
P0000972,PARAFLU SYR 60ML,ETL3A,3.0,BOTOL,2021
P0000973,PRENAGEN LOVA COKLAT 120GR,ETL5A,1.0,DUS,2021
P0000974,PROKIDS GUMMY JERUK,ETL2,6.0,SACHET,2021
P0000975,PRENAGEN MOMMY UHT CKLT 200ML,SC,3.0,PCS,2021
P0000976,PROKIDS GUMMY STRAW,ETL2,5.0,PCS,2021
P000323,PRENAGEN LOVA STRAW 120G,ETL5A,1.0,BOX,2021
P00098,PHENACOLD EXP 60ML,ETL3A,2.0,BOTOL,2021
R0000001,RANITIDINE 150MG,RAK2,30.0,STRIP,2021
R0000003,REDOXON EFF ORANGE,ETL3A,9.0,TUBE,2021
R0000004,RENABETIC 5 MG,RAK1,140.0,TABLET,2021
R00000079,RHINOFED SYR 60ML,ETL3A,1.0,SYR,2021
R000001,RAMAFLU TAB,ETL1,9.0,STRIP,2021
R0000010,RHINOS SR 5X10'S,RAK1,70.0,KAPSUL,2021
R00000102,RELIABLE COTTON BUDS DWS REFFIL  60'S,ETL5B,12.0,PCS,2021
R0000013,RODECA TALK,ETL3B,4.0,BOTOL,2021
R0000014,ROHTO,ETL2,8.0,BOTOL,2021
R0000015,ROHTO COOL,ETL2,5.0,BOTOL,2021
R0000055,RIVANOL SOL 100ML,ETL3B,14.0,BOTOL,2021
R0000065,RIVANOL SOL 300ML,ETL3B,8.0,BOTOL,2021
R0000068,REFAQUIN 15GR,RAK3,3.0,TUBE,2021
R0000072,RESIK V MANJAKANI 90ML,ETL5B,3.0,BOTOL,2021
R0000073,RENOVIT GOLD 30,ETL1,2.0,BOTOL,2021
R0000074,RENADINAC 50MG,RAK1,26.0,STRIP,2021
R0000080,ROHTO EYE  FLUSH,ETL2,1.0,BOTOL,2021
R0000081,RESIK V MANJAKANI 50ML,ETL5B,1.0,BOTOL,2021
R0000083,RENOVIT GOLD,ETL1,2.0,STRIP,2021
R0000085,RESIK V MANJAKANI WHITENING 90ML,ETL5B,3.0,BOTOL,2021
R0000087,RHINOS NEO DROP 10ML,ETL3A,4.0,BOTOL,2021
R0000088,RHINOS JUNIOR SYR 60ML,ETL3A,3.0,BOTOL,2021
R0000089,REMAFAR,RAK1,27.0,STRIP,2021
R0000091,RENAX KAP,ETL5A,42.0,KAPSUL,2021
R0000094,ROVERTON SYR,RAK4,6.0,BOTOL,2021
R0000095,ROVERTON TAB,RAK1,12.0,STRIP,2021
R0000098,REXCOF PLUS,ETL3A,3.0,BOTOL,2021
R0000099,RELIABLE DOT,ETL5B,1.0,BOTOL,2021
R0000100,RELIABLE BABY FINGER,ETL5B,1.0,PCS,2021
R0000102,RELIABLE COTTON BUDS DWS REFFIL 100'S,ETL5B,18.0,PCS,2021
R0000103,RELIABLE COTTON BUDS BABY REFIL 125'S,ETL5B,11.0,PCS,2021
R0000105,RELIABLE WATER TEETHER,ETL5B,3.0,PCS,2021
R0000107,RELIABLE KOTAK BEDAK,ETL3B,2.0,PCS,2021
R0000109,RESIK V MANJAKANI WHITHENING50ML,ETL5B,3.0,BOTOL,2021
R0000111,RENOVIT 30'S,ETL1,2.0,BOTOL,2021
R0000114,"RELIABLE COTTON BUDS BABY REFFIL 75""S",ETL5B,12.0,PCS,2021
R0000115,REXAVIN 125MG,RAK1,1.0,STRIP,2021
R0000117,REDOXON VITAMIN C,ETL1,20.0,STRIP,2021
R0000118,RECOVIT SYR,ETL4,2.0,BOTOL,2021
R00025,RELIABLE DOT 50ML,ETL5B,2.0,BOTOL,2021
R000265,BREAST PUMP SET RELIABLE,ETL5B,2.0,BOX,2021
R00265,RELIABLE WATER TEETHER (B),ETL5B,3.0,PCS,2021
S0000001,SAFE CARE,ETL2,12.0,BOTOL,2021
S0000003,SAKATONIK ABC ANGGUR,ETL4,3.0,BOTOL,2021
S0000005,SAKATONIK ABC STRAW,ETL4,2.0,BOTOL,2021
S0000006,SAKATONIK LIVER 100ML,ETL3A,2.0,BOTOL,2021
S0000007,SAKATONIK LIVER 310ML,ETL3A,1.0,BOTOL,2021
S0000008,SALBUTAMOL 2MG,RAK2,42.0,STRIP,2021
S0000009,SALBUTAMOL 4MG,RAK2,75.0,STRIP,2021
S0000012,SALEP 88,ETL2,24.0,POT,2021
S0000013,SALEP ICHTYOL 15GR,ETL2,32.0,POT,2021
S00000132,SUSU KUDA LIAR SUMBAWA,ETL1,1.0,BOTOL,2021
S00000154,SELANG OKSIGEN+MASKER,ETL3B,1.0,PCS,2021
S0000017,SALONPAS GEL KECIL,ETL2,2.0,TUBE,2021
S0000019,SALONPAS HOT,ETL2,18.0,PCS,2021
S0000020,SALYCIL TALK (KF),ETL3B,13.0,POT,2021
S0000022,SANAFLU,ETL1,21.0,STRIP,2021
S0000023,SANGOBION (10),ETL1,20.0,STRIP,2021
S00000233,SARI KURMA TJ 250GR,ETL2,2.0,BOTOL,2021
S0000024,SANGOBION (4),ETL1,14.0,STRIP,2021
S0000025,SANMOL DROP,ETL3A,1.0,BOTOL,2021
S00000256,SUCRALFAT 100ML,RAK4,5.0,SYR,2021
S0000026,SANMOL SYR,ETL3A,9.0,BOTOL,2021
S0000027,SANMOL TAB 500MG,ETL1,22.0,STRIP,2021
S0000029,SARIDON,ETL1,18.0,STRIP,2021
S0000030,SCABIMITE 10G,RAK3,4.0,TUBE,2021
S0000031,SCABIMITE 30G,RAK3,2.0,TUBE,2021
S0000032,SCOTT VITA 200 ML,ETL4,2.0,BOTOL,2021
S0000035,SENSITIF TEST KEHAMILAN,ETL3B,7.0,PCS,2021
S0000036,SILADEX ATT,ETL3A,7.0,BOTOL,2021
S0000037,SILADEX CC 60ML (BIRU),ETL3A,2.0,BOTOL,2021
S0000038,SILADEX ME 60 ML(HIJAU),ETL3A,8.0,BOTOL,2021
S0000039,SIMVASTATIN 10MG,RAK2,30.0,STRIP,2021
S0000040,SIMVASTATIN 20MG,RAK2,46.0,STRIP,2021
S0000041,SPASMINAL,RAK1,20.0,TABLET,2021
S0000042,SRITI,ETL2,21.0,TUBE,2021
S0000043,STIMUNO SYR 60 ML,ETL3A,1.0,BOTOL,2021
S0000044,STOP COLD,ETL1,22.0,STRIP,2021
S0000046,SUPER MAGIC,ETL3B,10.0,BOX,2021
S0000047,SUPERTETRA,RAK1,53.0,STRIP,2021
S0000048,SUTRA 3'S,ETL3B,28.0,AMPLOP,2021
S0000049,SUTRA OK 3'S,ETL3B,15.0,AMPLOP,2021
S0000054,STRIP GULA DARAH,MEJA,37.0,STRIP,2021
S0000055,STRIP KOLESTEROL,MEJA,44.0,STRIP,2021
S0000056,STRIP ASAM URAT,MEJA,93.0,STRIP,2021
S0000057,SENSI GLOVE,ETL3B,905.0,PCS,2021
S0000060,SUPRAVIT BOTOL,ETL1,3.0,BOTOL,2021
S0000061,SUPERHOID SUPP,KULKAS,24.0,SUPP,2021
S0000062,SISMAX,ETL1,7.0,BOTOL,2021
S0000065,SALEP 2-4,ETL2,31.0,POT,2021
S0000069,SALONPAS KOYO IJO 5X2,ETL2,14.0,SACHET,2021
S0000070,SUTRA CO'12,ETL3B,4.0,DUS,2021
S0000071,SENDOK TAKAR,LOKER,97.0,PCS,2021
S0000075,SARI KURMA SAHARA,ETL2,6.0,BOTOL,2021
S0000076,SENSI MASK EARLOOP 3PLY (PINK),ETL3B,52.0,PACK,2021
S0000077,SENSI MASK EARLOOP 3PLY (anak),ETL3B,5.0,PACK,2021
S0000078,SANMAG SUSP,ETL1,3.0,BOTOL,2021
S0000081,SUTRA OK'12,ETL3B,6.0,DUS,2021
S0000085,STIMUNO ANGGUR 60ML,ETL3A,3.0,BOTOL,2021
S0000087,STIMUNO FORTE CAPSUL,ETL1,3.0,DUS,2021
S0000089,SIMVASTATIN 10MG DEXA,RAK2,34.0,BLISTER,2021
S0000090,SENSI POPOK DEWASA (L),ETL5B,1.0,PACK,2021
S0000095,SITRONELA 60ML,ETL2,2.0,BOTOL,2021
S0000096,SISIR BAYI,ETL5B,1.0,PCS,2021
S0000100,SUPER MAGIC CASANOVA,ETL3B,11.0,BOX,2021
S0000102,SPUIT 3CC OM,LOKER,92.0,PCS,2021
S0000105,STREPSIL HONEY LEMON,ETL2,1.0,STRIP,2021
S0000108,SPUIT 1CC TERUMO,LOKER,25.0,PCS,2021
S0000116,SITRONELA 30ML,ETL2,6.0,BOTOL,2021
S0000119,SAKATONIK ABC ANTARIKSA,ETL4,3.0,BOTOL,2021
S0000121,SABUN PEPAYA,ETL5B,4.0,PCS,2021
S0000124,SUTRA CO '24,ETL3B,9.0,PCS,2021
S0000125,SERETIDE INHALER 50,RAK4,1.0,CAN,2021
S0000128,SILADEX ME 30ML (HIJAU),ETL3A,6.0,BOTOL,2021
S0000129,SILEX SYR100ML,ETL3A,1.0,BOTOL,2021
S0000132,SARI KACANG IJO 250ML,SC,25.0,PCS,2021
S0000140,SOMAN,ETL2,2.0,BOTOL,2021
S0000143,SUTRA PLUS 12'S,ETL3B,1.0,PCS,2021
S0000146,SPIRONOLACTON 25MG,RAK2,6.0,STRIP,2021
S0000148,SYNALTEN CR,RAK3,8.0,TUBE,2021
S0000149,SERETIDE INH 125,RAK4,1.0,CAN,2021
S0000151,SPUIT 10CC,LOKER,75.0,PCS,2021
S0000153,SELANG OKSIGEN,ETL4,3.0,PCS,2021
S0000155,SARI KURMA AL JAZIRA,ETL2,5.0,BOTOL,2021
S0000163,SILADEX CC 100 ML (BIRU),ETL3A,6.0,BOTOL,2021
S0000172,SANBE KIDS EMULSION,ETL4,1.0,BOTOL,2021
S0000173,SOLINFEC CR,ETL2,3.0,TUBE,2021
S0000176,SALICYL DRAGON,ETL3B,11.0,BOTOL,2021
S0000177,SENSODYNE FRESHMINT 100GR,ETL5B,1.0,TUBE,2021
S0000180,SARI KACANG IJO 150ML,SC,9.0,KOTAK,2021
S0000181,SELVIM,RAK1,4.0,STRIP,2021
S0000190,SARI KURMA MADU PLUS ANGKAK,ETL1,2.0,BOTOL,2021
S0000193,SOLINFEC TAB,RAK1,10.0,STRIP,2021
S0000194,SCANDERMA PLUS CR 10G,RAK3,1.0,TUBE,2021
S0000196,SANMOL FORTE SYR 60ML,ETL3A,6.0,BOTOL,2021
S0000204,STIMUNO FORTE BTL (30),ETL1,3.0,BOTOL,2021
S0000208,SAN-B PLEX DROPS,ETL3A,1.0,BOTOL,2021
S0000211,SILDENAFIL CITRATE 50MG,RAK2,11.0,TABLET,2021
S0000212,STATURE METER,ETL3B,4.0,PCS,2021
S0000215,SKIZON CR 10GR,RAK3,1.0,TUBE,2021
S0000218,SELSUN BLUE,ETL5B,2.0,BOTOL,2021
S0000219,SELSUN DOUBLE IMPACT,ETL5B,3.0,BOTOL,2021
S0000224,STREPSILS COOL 8'S,ETL2,4.0,SACHET,2021
S0000226,STIMUNO SYR ORANGE 60ML,ETL4,2.0,BOTOL,2021
S000023,SILADEX CC 30ML,ETL3A,9.0,BOTOL,2021
S0000230,SABUN SIRIH MANJAKANI+WHITENING 125ML,ETL5B,3.0,BOTOL,2021
S0000238,SUTRA GERIGI 3'S,ETL3B,6.0,PCS,2021
S0000240,SUPERTIN TABLET,ETL1,2.0,AMPLOP,2021
S0000241,SELSUN DOUBLE IMPACT 100ML,ETL5B,2.0,BOTOL,2021
S0000242,SELSUN BLUE 120ML,ETL5B,4.0,BOTOL,2021
S0000243,SUTRA GERIGI 12'S,ETL2,7.0,PCS,2021
S0000246,SARIAMAN GEL,ETL2,5.0,TUBE,2021
S0000252,SCOPMA PLUS,RAK1,2.0,STRIP,2021
S0000258,SANGOBION VITATONIK 400ML,ETL5B,3.0,BOTOL,2021
S0000264,STERIONE SPRAY DESINFECTANT,ETL3B,1.0,BOTOL,2021
S0000268,SENSI CONVEX MASK 2'S,ETL3B,1.0,PACK,2021
S0000269,SENSI MASK DUCKBILL 3'S,ETL3B,1.0,PACK,2021
S0000272,SUCRALFATE SUSP 500MG HOLI,RAK4,3.0,BOTOL,2021
S0000711,SD WASH GLOVES 2'S,ETL2,4.0,PCS,2021
S0000789,SAFE CARE STRONG,ETL2,23.0,BOTOL,2021
S0000790,SUTRA OK'24,ETL3B,6.0,DUS,2021
S0000792,SARI KURMA TROMBOSIT BESAR,ETL1,1.0,BOTOL,2021
S0000793,SARI KURMA TROMBOSIT KECIL,ETL1,1.0,BOTOL,2021
S0000797,SAMCOFENAC 50MG TAB,RAK1,14.0,STRIP,2021
S000080,SARANG SEMUT SUPER,ETL1,3.0,BOTOL,2021
S0000808,SORLEX 30GR,ETL2,2.0,TUBE,2021
S0000809,SANADRYL 120 CC,ETL3A,6.0,BOTOL,2021
S000081,SARI KURMA PRIMA JAMBU,ETL1,1.0,BOTOL,2021
S0000810,SUCRALFATE SUSP 100ML COMBHIPAR,RAK4,2.0,BOTOL,2021
S0000811,SANADRYL DMP SYR 60ML,ETL3A,4.0,BOTOL,2021
S0000812,SANADRYL DMP 120ML SYR,ETL3A,2.0,BOTOL,2021
S0000813,SANBE IVY SYR 60ML,ETL3A,3.0,BOTOL,2021
S0000815,SOLPENOX 500MG,RAK1,10.0,STRIP,2021
S000082,PUTRI SLIM,ETL2,1.0,BOTOL,2021
S000184,SP TROCHES 6'S,ETL5B,13.0,STRIP,2021
S000206,SUCRALFAT TAB 500MG,RAK2,4.0,STRIP,2021
SAMCO,SAMCONAL TAB,ETL1,20.0,STRIP,2021
T0000001,TAWON DD,ETL2,4.0,BOTOL,2021
T0000002,TAWON EE,ETL2,4.0,BOTOL,2021
T0000003,TAY PIN SAN,ETL1,64.0,SACHET,2021
T0000004,TEOSAL,RAK1,490.0,TABLET,2021
T0000005,TERMOREX 60 ML,ETL3A,7.0,BOTOL,2021
T0000010,THROMBO ASPILETS,RAK1,150.0,TABLET,2021
T0000011,THROMBPHOP GEL,ETL2,3.0,TUBE,2021
T0000012,TILOMIX,RAK1,20.0,STRIP,2021
T0000013,TOLAK ANGIN ANAK,ETL5B,107.0,SACHET,2021
T0000014,TOLAK ANGIN CAIR,ETL5B,215.0,SACHET,2021
T0000015,TONIKUM BAYER (B),ETL5B,3.0,BOTOL,2021
T0000016,TONIKUM BAYER (K),ETL5B,2.0,BOTOL,2021
T0000020,THROMBOGEL,ETL2,3.0,TUBE,2021
T0000021,TROPICANA SLIM DIABETICS 25'S,ETL5A,4.0,BOX,2021
T0000027,TEMPRA FORTE 60 ML,ETL3A,4.0,BOTOL,2021
T0000028,TEMPRA SYR 60ML,ETL3A,3.0,BOTOL,2021
T0000029,TEMPRA DROPS 15 ML,ETL3A,3.0,BOTOL,2021
T0000031,TERMOREX PLUS 60 ML,ETL3A,6.0,BOTOL,2021
T0000032,TIMBANGAN BADAN,ETL5B,2.0,PCS,2021
T0000036,TOBROSON MD,RAK4,1.0,STRIP,2021
T0000039,TREMENZA,RAK1,15.0,STRIP,2021
T0000043,TROPICANA SLIM DIABETIC 50'S,ETL5A,3.0,DUS,2021
T0000044,THERMOLYTE PLUS 60'S,ETL5A,1.0,BLISTER,2021
T0000052,TREMENZA SYR,ETL3A,3.0,BOTOL,2021
T0000053,TROPICANA SLIM CLASSIC 50'S,ETL5A,2.0,BOX,2021
T0000058,THROMBOPHOB OINT,ETL2,3.0,TUBE,2021
T0000063,TEH KOTAK 200ML,SC,21.0,KOTAK,2021
T0000064,TIMBANGAN DIGITAL,ETL5B,1.0,PCS,2021
T0000065,TEMPRA SYR 30ML,ETL3A,2.0,BOTOL,2021
T0000067,TRANSFULMIN BABY 10GR,ETL2,3.0,TUBE,2021
T0000068,TAY PIN SAN CAIR,ETL1,39.0,SACHET,2021
T0000071,TUZALOS,ETL1,10.0,STRIP,2021
T0000076,TABUNG OKSIGEN M3,ETL5B,1.0,TBG,2021
T0000077,TEH JATI CINA CELUP,ETL5B,2.0,PCS,2021
T0000078,TJ JOYBEE,ETL2,3.0,BOTOL,2021
T0000079,TOLAK LINU,ETL5B,18.0,SACHET,2021
T0000083,MINYAK TAWON FF,ETL2,2.0,BOTOL,2021
T0000086,TENSI ANAROID SERENITY,ETL5B,1.0,PCS,2021
T0000087,TERMOREX PLUS 30ML,ETL3A,4.0,BOTOL,2021
T0000089,TJ JOYBEE ORIGINAL,ETL2,3.0,BOTOL,2021
T0000091,TERRA F KAPSUL,ETL1,20.0,STRIP,2021
T0000092,THROMECON 20GR,ETL2,2.0,TUBE,2021
T0000093,TERMOREX 30ML,ETL3A,6.0,BOTOL,2021
T0000095,TRANSPULMIN BB 10G,ETL2,2.0,TUBE,2021
T0000100,TJ JOYBEE STROWBERY,ETL2,2.0,BOTOL,2021
T0000101,THERMOMETER DIGITAL OMRON,ETL5B,4.0,PCS,2021
T0000103,TRIAMCINOLONE 4MG TAB,RAK2,4.0,STRIP,2021
T0000105,TISU MONTISS 250'S,ETL5B,7.0,PCS,2021
T0000106,TOPICARE CLEANSER 90ML,ETL5B,1.0,PCS,2021
T0000107,TEH JATI CINA REBUS PRIMA,ETL2,4.0,PCS,2021
T0000109,TROLLY O2 Im3,ETL5B,1.0,PCS,2021
T0000110,TAY PIN SAN TABLET,ETL1,17.0,STRIP,2021
T0000111,TEMPRA FORTE SYR 30ML,ETL3A,2.0,BOTOL,2021
T0000113,TOLAK ANGIN CAIR BEBAS GULA,ETL5B,30.0,SACHET,2021
T000080,TRIANTA,ETL1,7.0,STRIP,2021
T000082,TESTPACK,ETL3B,10.0,STRIP,2021
T000083,TERMOREX DROP,ETL3A,8.0,BOTOL,2021
T000088,TROPICANA SLIM CLASIC 25'S,ETL5A,2.0,BOX,2021
T000089,TAWON CC,ETL2,2.0,BOTOL,2021
T000093,TERMOREX PATCH,ETL5B,10.0,SACHET,2021
T000099,TRISELA 10MG,RAK1,12.0,STRIP,2021
T000100,TRISELA SYR,RAK4,3.0,BOTOL,2021
U0000002,ULTRACILLINE,ETL2,16.0,TUBE,2021
U0000003,ULTRACYN BABY KECIL,ETL3B,6.0,BOTOL,2021
U0000005,ULTRAFLU,ETL1,72.0,STRIP,2021
U0000009,ULTRAFIX 10X5,ETL3B,2.0,ROLL,2021
U0000011,ULTRACAP,ETL1,22.0,STRIP,2021
U0000012,UNDERPAD SENSI,ETL5B,20.0,PCS,2021
U0000015,ULTRA STROWBERY 125,SC,7.0,KOTAK,2021
U0000018,ULTRAMILK COKLAT 250,SC,26.0,PCS,2021
U0000019,ULTRA MIMI COKLAT 125,SC,56.0,PCS,2021
U0000023,ULTRAFIX 5 X 5,ETL3B,3.0,ROLL,2021
U0000025,ULTRACYN DWS,ETL3B,4.0,BOTOL,2021
U0000032,UPASI,ETL5A,12.0,BOTOL,2021
V0000001,VEGETA HERBAL,ETL4,15.0,SACHET,2021
V0000002,VEGETA JERUK,ETL4,19.0,SACHET,2021
V00000026,VITALONG C + ZINC,ETL1,23.0,STRIP,2021
V00000029,VOLTAREN 50MG,RAK1,16.0,TABLET,2021
V0000005,VERILE ACNE  GEL,ETL2,3.0,TUBE,2021
V0000006,VERMINT 12'S,ETL2,14.0,BOTOL,2021
V0000007,VERMINT 30'S,ETL2,6.0,BOTOL,2021
V0000011,VICEE STRAW,ETL5B,655.0,STRIP,2021
V0000012,VICKS F44 ANAK 27 ML,ETL3A,21.0,BOTOL,2021
V0000013,VICKS F44 ANAK 54 ML,ETL3A,10.0,BOTOL,2021
V00000145,VITAMIN B12,ETL1,9.0,STRIP,2021
V0000015,VICKS F44 DWS 100 ML,ETL3A,14.0,BOTOL,2021
V0000016,VICKS F44 DWS 27 ML,ETL3A,17.0,BOTOL,2021
V0000017,VICKS INHALER,ETL2,10.0,POT,2021
V0000018,VICKS VAPORUB 25G,ETL2,6.0,PCS,2021
V0000019,VIGEL,ETL3B,6.0,TUBE,2021
V0000020,VIOSTIN DS,ETL1,14.0,STRIP,2021
V0000023,VITACIMIN,ETL5B,213.0,STRIP,2021
V0000024,VITALONG C (30),ETL1,2.0,BOTOL,2021
V0000025,VITALONG C (4),ETL1,20.0,STRIP,2021
V0000026,VITAQUIN CR 15G,RAK3,6.0,TUBE,2021
V0000027,VOLTADEX50MG,RAK1,610.0,TABLET,2021
V0000031,VOLTAREN GEL 5GR,ETL2,1.0,TUBE,2021
V0000032,VEGE BLEND,ETL5A,1.0,BOTOL,2021
V0000034,VALDRES 25MG,RAK1,24.0,TABLET,2021
V0000036,VEGEBLEND JR 30',ETL5A,1.0,BOTOL,2021
V0000037,VICKS VAPORUB 10,ETL2,1.0,POT,2021
V0000038,VITAL TT,ETL2,5.0,FLS,2021
V0000040,VIRJINT SYR,ETL2,7.0,BOTOL,2021
V0000041,VICKS F44 DWS 54ML,ETL3A,12.0,BOTOL,2021
V0000044,VENARON,ETL1,15.0,STRIP,2021
V0000045,VENTOLIN NEBULES,RAK4,22.0,VIAL,2021
V0000046,VIDORAN SMART 100ML,ETL3A,2.0,BOTOL,2021
V0000050,VENTOLIN INHALER,RAK4,1.0,PCS,2021
V0000051,V FRESH ORIGINAL,ETL2,9.0,BOTOL,2021
V0000052,V FRESH HOT 8ML,ETL2,7.0,BOTOL,2021
V0000066,"VITACID 0,1%",RAK3,1.0,TUBE,2021
V0000078,VITACID 0.05%,RAK3,1.0,TUBE,2021
V0000079,VITACID 0.025%,RAK3,1.0,TUBE,2021
V0000081,VERILE BLEMISH CREAM,ETL2,3.0,TUBE,2021
V0000084,VITAMIN B COMPLEX,ETL1,26.0,STRIP,2021
V0000090,VITABUMIN,ETL3A,2.0,FLS,2021
V0000092,VOLTADEX GEL 20GR,ETL2,1.0,TUBE,2021
V0000093,VOSEA SYR 30ML,RAK4,4.0,BOTOL,2021
V0000095,VIDORAN SMART ORANGE TABLET,ETL4,1.0,BOTOL,2021
V000010,V CONFI 60ML,ETL5B,1.0,BOTOL,2021
V0000100,VITAMIN B6,ETL1,20.0,STRIP,2021
V0000101,VITAMIN B1 50 mg,ETL1,20.0,STRIP,2021
V0000105,VISANCORT CREAM,RAK3,2.0,TUBE,2021
V0000110,VITAMIN C 250MG,ETL1,15.0,STRIP,2021
V0000114,VASELINE SWAB,KULKAS,10.0,PCS,2021
V0000115,VESPERUM SYR 60ML,RAK4,3.0,BOTOL,2021
V0000116,VEDRIN SIRUP 60ML,ETL3A,3.0,BOTOL,2021
V0000117,VITALONG C + ZINC 30'S,ETL1,1.0,BOTOL,2021
V0000118,VICKS FORMULA JAHE MADU 28ML,ETL3A,10.0,BOTOL,2021
